athlete	team	medal	year	sport
athlete_030618	Germany	Bronze	2018	sport_18
athlete_030619	Italy	NA	2019	sport_19
athlete_030620	Germany	NA	2000	sport_20
athlete_030621	United States	Bronze	2001	sport_21
athlete_030622	Germany	Bronze	2002	sport_22
athlete_030623	Soviet Union	NA	2003	sport_23
athlete_030624	Italy	NA	2004	sport_24
athlete_030625	France	NA	2005	sport_25
athlete_030626	United States	NA	2006	sport_26
athlete_030627	France	NA	2007	sport_27
athlete_030628	Kenya	NA	2008	sport_28
athlete_030629	Soviet Union	NA	2009	sport_29
athlete_030630	France	Silver	2010	sport_30
athlete_030631	Italy	Bronze	2011	sport_31
athlete_030632	Germany	Silver	2012	sport_32
athlete_030633	United States	NA	2013	sport_33
athlete_030634	Kenya	NA	2014	sport_34
athlete_030635	United States	NA	2015	sport_35
athlete_030636	Soviet Union	NA	2016	sport_36
athlete_030637	Italy	NA	2017	sport_37
athlete_030638	United States	Bronze	2018	sport_38
athlete_030639	Germany	NA	2019	sport_39
athlete_030640	United States	NA	2000	sport_0
athlete_030641	United States	NA	2001	sport_1
athlete_030642	United States	NA	2002	sport_2
athlete_030643	Japan	NA	2003	sport_3
athlete_030644	Japan	NA	2004	sport_4
athlete_030645	Japan	NA	2005	sport_5
athlete_030646	Japan	Bronze	2006	sport_6
athlete_030647	United States	NA	2007	sport_7
athlete_030648	Kenya	NA	2008	sport_8
athlete_030649	France	NA	2009	sport_9
athlete_030650	United States	Gold	2010	sport_10
athlete_030651	United States	NA	2011	sport_11
athlete_030652	Germany	NA	2012	sport_12
athlete_030653	Kenya	NA	2013	sport_13
athlete_030654	United States	NA	2014	sport_14
athlete_030655	France	NA	2015	sport_15
athlete_030656	Germany	NA	2016	sport_16
athlete_030657	Italy	NA	2017	sport_17
athlete_030658	Germany	NA	2018	sport_18
athlete_030659	United States	NA	2019	sport_19
athlete_030660	Japan	Silver	2000	sport_20
athlete_030661	United States	Silver	2001	sport_21
athlete_030662	United States	Silver	2002	sport_22
athlete_030663	France	Bronze	2003	sport_23
athlete_030664	Soviet Union	NA	2004	sport_24
athlete_030665	United States	Bronze	2005	sport_25
athlete_030666	Italy	Gold	2006	sport_26
athlete_030667	Germany	NA	2007	sport_27
athlete_030668	United States	NA	2008	sport_28
athlete_030669	France	NA	2009	sport_29
athlete_030670	United States	NA	2010	sport_30
athlete_030671	United States	Bronze	2011	sport_31
athlete_030672	United States	Silver	2012	sport_32
athlete_030673	Kenya	Bronze	2013	sport_33
athlete_030674	Italy	NA	2014	sport_34
athlete_030675	Germany	Bronze	2015	sport_35
athlete_030676	Soviet Union	NA	2016	sport_36
athlete_030677	Japan	NA	2017	sport_37
athlete_030678	Kenya	NA	2018	sport_38
athlete_030679	Soviet Union	Gold	2019	sport_39
athlete_030680	Kenya	Silver	2000	sport_0
athlete_030681	Japan	NA	2001	sport_1
athlete_030682	Germany	Bronze	2002	sport_2
athlete_030683	Kenya	NA	2003	sport_3
athlete_030684	United States	Silver	2004	sport_4
athlete_030685	Italy	Bronze	2005	sport_5
athlete_030686	Kenya	NA	2006	sport_6
athlete_030687	Germany	Bronze	2007	sport_7
athlete_030688	France	Gold	2008	sport_8
athlete_030689	United States	NA	2009	sport_9
athlete_030690	United States	NA	2010	sport_10
athlete_030691	Italy	Bronze	2011	sport_11
athlete_030692	France	Silver	2012	sport_12
athlete_030693	Soviet Union	NA	2013	sport_13
athlete_030694	France	Bronze	2014	sport_14
athlete_030695	Soviet Union	Silver	2015	sport_15
athlete_030696	United States	Bronze	2016	sport_16
athlete_030697	Germany	Silver	2017	sport_17
athlete_030698	Kenya	NA	2018	sport_18
athlete_030699	Italy	NA	2019	sport_19
athlete_030700	France	NA	2000	sport_20
athlete_030701	United States	NA	2001	sport_21
athlete_030702	Kenya	Gold	2002	sport_22
athlete_030703	United States	NA	2003	sport_23
athlete_030704	Japan	Bronze	2004	sport_24
athlete_030705	France	NA	2005	sport_25
athlete_030706	France	NA	2006	sport_26
athlete_030707	Italy	NA	2007	sport_27
athlete_030708	Germany	Gold	2008	sport_28
athlete_030709	United States	NA	2009	sport_29
athlete_030710	Soviet Union	NA	2010	sport_30
athlete_030711	Germany	Silver	2011	sport_31
athlete_030712	United States	Silver	2012	sport_32
athlete_030713	United States	NA	2013	sport_33
athlete_030714	Soviet Union	Gold	2014	sport_34
athlete_030715	Italy	Gold	2015	sport_35
athlete_030716	Kenya	NA	2016	sport_36
athlete_030717	Germany	Silver	2017	sport_37
athlete_030718	United States	Gold	2018	sport_38
athlete_030719	United States	Bronze	2019	sport_39
athlete_030720	United States	Bronze	2000	sport_0
athlete_030721	United States	NA	2001	sport_1
athlete_030722	Germany	NA	2002	sport_2
athlete_030723	United States	Bronze	2003	sport_3
athlete_030724	Kenya	NA	2004	sport_4
athlete_030725	United States	Silver	2005	sport_5
athlete_030726	Germany	NA	2006	sport_6
athlete_030727	United States	NA	2007	sport_7
athlete_030728	United States	NA	2008	sport_8
athlete_030729	United States	Gold	2009	sport_9
athlete_030730	Soviet Union	NA	2010	sport_10
athlete_030731	United States	NA	2011	sport_11
athlete_030732	United States	Gold	2012	sport_12
athlete_030733	Soviet Union	NA	2013	sport_13
athlete_030734	United States	Silver	2014	sport_14
athlete_030735	France	Gold	2015	sport_15
athlete_030736	United States	NA	2016	sport_16
athlete_030737	United States	Bronze	2017	sport_17
athlete_030738	Italy	Gold	2018	sport_18
athlete_030739	United States	Silver	2019	sport_19
athlete_030740	United States	Gold	2000	sport_20
athlete_030741	Soviet Union	NA	2001	sport_21
athlete_030742	United States	NA	2002	sport_22
athlete_030743	Italy	NA	2003	sport_23
athlete_030744	Germany	NA	2004	sport_24
athlete_030745	Italy	Silver	2005	sport_25
athlete_030746	United States	Gold	2006	sport_26
athlete_030747	Italy	Gold	2007	sport_27
athlete_030748	United States	Gold	2008	sport_28
athlete_030749	France	Silver	2009	sport_29
athlete_030750	Germany	NA	2010	sport_30
athlete_030751	United States	Bronze	2011	sport_31
athlete_030752	Japan	NA	2012	sport_32
athlete_030753	United States	NA	2013	sport_33
athlete_030754	Soviet Union	NA	2014	sport_34
athlete_030755	Germany	NA	2015	sport_35
athlete_030756	United States	Bronze	2016	sport_36
athlete_030757	Soviet Union	NA	2017	sport_37
athlete_030758	Soviet Union	Silver	2018	sport_38
athlete_030759	United States	NA	2019	sport_39
athlete_030760	Italy	NA	2000	sport_0
athlete_030761	France	Gold	2001	sport_1
athlete_030762	United States	Bronze	2002	sport_2
athlete_030763	Japan	NA	2003	sport_3
athlete_030764	Japan	Gold	2004	sport_4
athlete_030765	Japan	Bronze	2005	sport_5
athlete_030766	Germany	Bronze	2006	sport_6
athlete_030767	United States	NA	2007	sport_7
athlete_030768	Japan	Bronze	2008	sport_8
athlete_030769	Kenya	Silver	2009	sport_9
athlete_030770	United States	NA	2010	sport_10
athlete_030771	Kenya	Silver	2011	sport_11
athlete_030772	Germany	Gold	2012	sport_12
athlete_030773	Germany	Bronze	2013	sport_13
athlete_030774	United States	Silver	2014	sport_14
athlete_030775	United States	NA	2015	sport_15
athlete_030776	Soviet Union	NA	2016	sport_16
athlete_030777	United States	NA	2017	sport_17
athlete_030778	Italy	NA	2018	sport_18
athlete_030779	France	NA	2019	sport_19
athlete_030780	United States	Gold	2000	sport_20
athlete_030781	United States	NA	2001	sport_21
athlete_030782	Kenya	NA	2002	sport_22
athlete_030783	Germany	Silver	2003	sport_23
athlete_030784	Soviet Union	Silver	2004	sport_24
athlete_030785	Germany	NA	2005	sport_25
athlete_030786	Italy	NA	2006	sport_26
athlete_030787	Italy	NA	2007	sport_27
athlete_030788	France	Gold	2008	sport_28
athlete_030789	United States	Silver	2009	sport_29
athlete_030790	France	Gold	2010	sport_30
athlete_030791	United States	Bronze	2011	sport_31
athlete_030792	Italy	Silver	2012	sport_32
athlete_030793	United States	NA	2013	sport_33
athlete_030794	United States	NA	2014	sport_34
athlete_030795	Soviet Union	NA	2015	sport_35
athlete_030796	Soviet Union	NA	2016	sport_36
athlete_030797	Italy	Bronze	2017	sport_37
athlete_030798	Italy	Bronze	2018	sport_38
athlete_030799	Kenya	NA	2019	sport_39
athlete_030800	United States	NA	2000	sport_0
athlete_030801	Italy	Gold	2001	sport_1
athlete_030802	Italy	Bronze	2002	sport_2
athlete_030803	Germany	NA	2003	sport_3
athlete_030804	Germany	NA	2004	sport_4
athlete_030805	United States	Bronze	2005	sport_5
athlete_030806	United States	NA	2006	sport_6
athlete_030807	Italy	NA	2007	sport_7
athlete_030808	United States	Silver	2008	sport_8
athlete_030809	Germany	Bronze	2009	sport_9
athlete_030810	United States	NA	2010	sport_10
athlete_030811	United States	Gold	2011	sport_11
athlete_030812	Japan	NA	2012	sport_12
athlete_030813	Germany	NA	2013	sport_13
athlete_030814	Japan	Gold	2014	sport_14
athlete_030815	United States	NA	2015	sport_15
athlete_030816	Japan	NA	2016	sport_16
athlete_030817	United States	NA	2017	sport_17
athlete_030818	France	NA	2018	sport_18
athlete_030819	United States	Bronze	2019	sport_19
athlete_030820	Soviet Union	Gold	2000	sport_20
athlete_030821	Germany	NA	2001	sport_21
athlete_030822	Italy	NA	2002	sport_22
athlete_030823	Japan	NA	2003	sport_23
athlete_030824	Italy	Gold	2004	sport_24
athlete_030825	France	NA	2005	sport_25
athlete_030826	Germany	NA	2006	sport_26
athlete_030827	Japan	Bronze	2007	sport_27
athlete_030828	Italy	NA	2008	sport_28
athlete_030829	United States	NA	2009	sport_29
athlete_030830	France	Bronze	2010	sport_30
athlete_030831	Soviet Union	Silver	2011	sport_31
athlete_030832	Germany	Gold	2012	sport_32
athlete_030833	Soviet Union	NA	2013	sport_33
athlete_030834	Germany	Bronze	2014	sport_34
athlete_030835	Italy	NA	2015	sport_35
athlete_030836	Japan	Bronze	2016	sport_36
athlete_030837	United States	Gold	2017	sport_37
athlete_030838	United States	Gold	2018	sport_38
athlete_030839	Germany	NA	2019	sport_39
athlete_030840	United States	Gold	2000	sport_0
athlete_030841	Italy	NA	2001	sport_1
athlete_030842	United States	NA	2002	sport_2
athlete_030843	Italy	NA	2003	sport_3
athlete_030844	Italy	Silver	2004	sport_4
athlete_030845	Soviet Union	Bronze	2005	sport_5
athlete_030846	Germany	Gold	2006	sport_6
athlete_030847	France	NA	2007	sport_7
athlete_030848	United States	NA	2008	sport_8
athlete_030849	Kenya	Gold	2009	sport_9
athlete_030850	Kenya	Gold	2010	sport_10
athlete_030851	Italy	NA	2011	sport_11
athlete_030852	Germany	NA	2012	sport_12
athlete_030853	United States	NA	2013	sport_13
athlete_030854	Soviet Union	Bronze	2014	sport_14
athlete_030855	Kenya	Bronze	2015	sport_15
athlete_030856	Germany	NA	2016	sport_16
athlete_030857	Italy	Silver	2017	sport_17
athlete_030858	Kenya	NA	2018	sport_18
athlete_030859	Italy	Gold	2019	sport_19
athlete_030860	Italy	Bronze	2000	sport_20
athlete_030861	United States	Bronze	2001	sport_21
athlete_030862	United States	Silver	2002	sport_22
athlete_030863	Italy	NA	2003	sport_23
athlete_030864	Germany	NA	2004	sport_24
athlete_030865	United States	Gold	2005	sport_25
athlete_030866	United States	Gold	2006	sport_26
athlete_030867	Germany	NA	2007	sport_27
athlete_030868	France	NA	2008	sport_28
athlete_030869	France	Gold	2009	sport_29
athlete_030870	United States	NA	2010	sport_30
athlete_030871	France	Gold	2011	sport_31
athlete_030872	Soviet Union	NA	2012	sport_32
athlete_030873	Kenya	Silver	2013	sport_33
athlete_030874	Italy	Bronze	2014	sport_34
athlete_030875	Italy	Silver	2015	sport_35
athlete_030876	Italy	NA	2016	sport_36
athlete_030877	Italy	Silver	2017	sport_37
athlete_030878	France	NA	2018	sport_38
athlete_030879	Germany	Bronze	2019	sport_39
athlete_030880	France	NA	2000	sport_0
athlete_030881	United States	Silver	2001	sport_1
athlete_030882	Japan	Gold	2002	sport_2
athlete_030883	France	NA	2003	sport_3
athlete_030884	Italy	Bronze	2004	sport_4
athlete_030885	Germany	Silver	2005	sport_5
athlete_030886	Italy	NA	2006	sport_6
athlete_030887	France	Gold	2007	sport_7
athlete_030888	United States	NA	2008	sport_8
athlete_030889	Kenya	Bronze	2009	sport_9
athlete_030890	Italy	NA	2010	sport_10
athlete_030891	United States	Bronze	2011	sport_11
athlete_030892	Germany	Bronze	2012	sport_12
athlete_030893	Kenya	Bronze	2013	sport_13
athlete_030894	United States	NA	2014	sport_14
athlete_030895	Japan	Gold	2015	sport_15
athlete_030896	Japan	Bronze	2016	sport_16
athlete_030897	Germany	NA	2017	sport_17
athlete_030898	United States	Gold	2018	sport_18
athlete_030899	Kenya	NA	2019	sport_19
athlete_030900	United States	NA	2000	sport_20
athlete_030901	United States	Gold	2001	sport_21
athlete_030902	United States	Bronze	2002	sport_22
athlete_030903	Italy	Silver	2003	sport_23
athlete_030904	Italy	NA	2004	sport_24
athlete_030905	Italy	Bronze	2005	sport_25
athlete_030906	Kenya	Bronze	2006	sport_26
athlete_030907	Japan	NA	2007	sport_27
athlete_030908	Germany	Silver	2008	sport_28
athlete_030909	France	NA	2009	sport_29
athlete_030910	France	Gold	2010	sport_30
athlete_030911	United States	Silver	2011	sport_31
athlete_030912	United States	NA	2012	sport_32
athlete_030913	Italy	Bronze	2013	sport_33
athlete_030914	Italy	Gold	2014	sport_34
athlete_030915	United States	NA	2015	sport_35
athlete_030916	Italy	Silver	2016	sport_36
athlete_030917	Kenya	NA	2017	sport_37
athlete_030918	France	NA	2018	sport_38
athlete_030919	United States	Bronze	2019	sport_39
athlete_030920	Germany	NA	2000	sport_0
athlete_030921	Japan	NA	2001	sport_1
athlete_030922	Kenya	NA	2002	sport_2
athlete_030923	Japan	NA	2003	sport_3
athlete_030924	Japan	Gold	2004	sport_4
athlete_030925	United States	NA	2005	sport_5
athlete_030926	Kenya	NA	2006	sport_6
athlete_030927	France	NA	2007	sport_7
athlete_030928	Kenya	NA	2008	sport_8
athlete_030929	Soviet Union	Silver	2009	sport_9
athlete_030930	Soviet Union	NA	2010	sport_10
athlete_030931	Japan	NA	2011	sport_11
athlete_030932	United States	Silver	2012	sport_12
athlete_030933	Italy	NA	2013	sport_13
athlete_030934	United States	Gold	2014	sport_14
athlete_030935	Japan	NA	2015	sport_15
athlete_030936	Japan	NA	2016	sport_16
athlete_030937	Germany	Bronze	2017	sport_17
athlete_030938	France	Silver	2018	sport_18
athlete_030939	United States	Bronze	2019	sport_19
athlete_030940	Soviet Union	NA	2000	sport_20
athlete_030941	Japan	Bronze	2001	sport_21
athlete_030942	Italy	NA	2002	sport_22
athlete_030943	France	Gold	2003	sport_23
athlete_030944	United States	Bronze	2004	sport_24
athlete_030945	United States	NA	2005	sport_25
athlete_030946	Italy	NA	2006	sport_26
athlete_030947	United States	Silver	2007	sport_27
athlete_030948	France	NA	2008	sport_28
athlete_030949	Japan	Bronze	2009	sport_29
athlete_030950	Germany	NA	2010	sport_30
athlete_030951	Kenya	Silver	2011	sport_31
athlete_030952	Germany	NA	2012	sport_32
athlete_030953	Soviet Union	Silver	2013	sport_33
athlete_030954	Soviet Union	NA	2014	sport_34
athlete_030955	Italy	NA	2015	sport_35
athlete_030956	United States	Gold	2016	sport_36
athlete_030957	Kenya	Gold	2017	sport_37
athlete_030958	Japan	Gold	2018	sport_38
athlete_030959	United States	NA	2019	sport_39
athlete_030960	Kenya	NA	2000	sport_0
athlete_030961	Soviet Union	NA	2001	sport_1
athlete_030962	Germany	Silver	2002	sport_2
athlete_030963	Kenya	NA	2003	sport_3
athlete_030964	Soviet Union	Gold	2004	sport_4
athlete_030965	Italy	Bronze	2005	sport_5
athlete_030966	Germany	NA	2006	sport_6
athlete_030967	United States	Gold	2007	sport_7
athlete_030968	Soviet Union	Silver	2008	sport_8
athlete_030969	United States	Bronze	2009	sport_9
athlete_030970	Japan	NA	2010	sport_10
athlete_030971	United States	Bronze	2011	sport_11
athlete_030972	Soviet Union	NA	2012	sport_12
athlete_030973	United States	NA	2013	sport_13
athlete_030974	United States	NA	2014	sport_14
athlete_030975	France	NA	2015	sport_15
athlete_030976	Kenya	Bronze	2016	sport_16
athlete_030977	Germany	NA	2017	sport_17
athlete_030978	Italy	NA	2018	sport_18
athlete_030979	Japan	NA	2019	sport_19
athlete_030980	Soviet Union	NA	2000	sport_20
athlete_030981	Italy	NA	2001	sport_21
athlete_030982	Kenya	NA	2002	sport_22
athlete_030983	Japan	Gold	2003	sport_23
athlete_030984	United States	Silver	2004	sport_24
athlete_030985	United States	NA	2005	sport_25
athlete_030986	Japan	NA	2006	sport_26
athlete_030987	France	Gold	2007	sport_27
athlete_030988	Germany	Bronze	2008	sport_28
athlete_030989	France	Silver	2009	sport_29
athlete_030990	France	Gold	2010	sport_30
athlete_030991	United States	Gold	2011	sport_31
athlete_030992	Germany	Gold	2012	sport_32
athlete_030993	United States	NA	2013	sport_33
athlete_030994	United States	NA	2014	sport_34
athlete_030995	Italy	Silver	2015	sport_35
athlete_030996	Japan	Silver	2016	sport_36
athlete_030997	United States	Gold	2017	sport_37
athlete_030998	Japan	Gold	2018	sport_38
athlete_030999	Soviet Union	Silver	2019	sport_39
athlete_031000	Kenya	Silver	2000	sport_0
athlete_031001	France	Bronze	2001	sport_1
athlete_031002	Germany	Gold	2002	sport_2
athlete_031003	United States	Silver	2003	sport_3
athlete_031004	Italy	Gold	2004	sport_4
athlete_031005	Germany	NA	2005	sport_5
athlete_031006	United States	Silver	2006	sport_6
athlete_031007	France	NA	2007	sport_7
athlete_031008	France	NA	2008	sport_8
athlete_031009	United States	Gold	2009	sport_9
athlete_031010	United States	Silver	2010	sport_10
athlete_031011	Kenya	NA	2011	sport_11
athlete_031012	Japan	NA	2012	sport_12
athlete_031013	Germany	Silver	2013	sport_13
athlete_031014	Germany	NA	2014	sport_14
athlete_031015	Germany	Gold	2015	sport_15
athlete_031016	Italy	NA	2016	sport_16
athlete_031017	Soviet Union	NA	2017	sport_17
athlete_031018	Italy	Gold	2018	sport_18
athlete_031019	Italy	NA	2019	sport_19
athlete_031020	France	NA	2000	sport_20
athlete_031021	Kenya	Silver	2001	sport_21
athlete_031022	Germany	Bronze	2002	sport_22
athlete_031023	France	Silver	2003	sport_23
athlete_031024	United States	NA	2004	sport_24
athlete_031025	Italy	NA	2005	sport_25
athlete_031026	Kenya	Silver	2006	sport_26
athlete_031027	France	NA	2007	sport_27
athlete_031028	Italy	NA	2008	sport_28
athlete_031029	United States	NA	2009	sport_29
athlete_031030	United States	NA	2010	sport_30
athlete_031031	Soviet Union	Gold	2011	sport_31
athlete_031032	Soviet Union	NA	2012	sport_32
athlete_031033	Italy	Bronze	2013	sport_33
athlete_031034	United States	Bronze	2014	sport_34
athlete_031035	Italy	NA	2015	sport_35
athlete_031036	Soviet Union	NA	2016	sport_36
athlete_031037	Germany	Bronze	2017	sport_37
athlete_031038	United States	NA	2018	sport_38
athlete_031039	Japan	Silver	2019	sport_39
athlete_031040	Kenya	NA	2000	sport_0
athlete_031041	Germany	NA	2001	sport_1
athlete_031042	France	NA	2002	sport_2
athlete_031043	France	NA	2003	sport_3
athlete_031044	France	Silver	2004	sport_4
athlete_031045	France	Bronze	2005	sport_5
athlete_031046	Japan	NA	2006	sport_6
athlete_031047	Japan	Gold	2007	sport_7
athlete_031048	Japan	NA	2008	sport_8
athlete_031049	France	Gold	2009	sport_9
athlete_031050	Kenya	Bronze	2010	sport_10
athlete_031051	Soviet Union	Bronze	2011	sport_11
athlete_031052	Kenya	NA	2012	sport_12
athlete_031053	United States	NA	2013	sport_13
athlete_031054	France	NA	2014	sport_14
athlete_031055	France	Bronze	2015	sport_15
athlete_031056	Kenya	Gold	2016	sport_16
athlete_031057	Kenya	Silver	2017	sport_17
athlete_031058	Italy	NA	2018	sport_18
athlete_031059	Kenya	NA	2019	sport_19
athlete_031060	Soviet Union	Bronze	2000	sport_20
athlete_031061	France	NA	2001	sport_21
athlete_031062	France	NA	2002	sport_22
athlete_031063	Soviet Union	NA	2003	sport_23
athlete_031064	Kenya	Gold	2004	sport_24
athlete_031065	United States	NA	2005	sport_25
athlete_031066	Germany	Bronze	2006	sport_26
athlete_031067	Japan	NA	2007	sport_27
athlete_031068	Soviet Union	Bronze	2008	sport_28
athlete_031069	United States	NA	2009	sport_29
athlete_031070	United States	Gold	2010	sport_30
athlete_031071	Germany	Bronze	2011	sport_31
athlete_031072	Japan	Bronze	2012	sport_32
athlete_031073	United States	NA	2013	sport_33
athlete_031074	Soviet Union	Silver	2014	sport_34
athlete_031075	Japan	Silver	2015	sport_35
athlete_031076	Germany	NA	2016	sport_36
athlete_031077	Soviet Union	NA	2017	sport_37
athlete_031078	Italy	NA	2018	sport_38
athlete_031079	United States	Bronze	2019	sport_39
athlete_031080	France	NA	2000	sport_0
athlete_031081	Kenya	Gold	2001	sport_1
athlete_031082	Soviet Union	NA	2002	sport_2
athlete_031083	United States	NA	2003	sport_3
athlete_031084	Kenya	NA	2004	sport_4
athlete_031085	Japan	NA	2005	sport_5
athlete_031086	Kenya	NA	2006	sport_6
athlete_031087	Japan	Gold	2007	sport_7
athlete_031088	United States	Silver	2008	sport_8
athlete_031089	Soviet Union	NA	2009	sport_9
athlete_031090	Kenya	NA	2010	sport_10
athlete_031091	United States	Gold	2011	sport_11
athlete_031092	Soviet Union	NA	2012	sport_12
athlete_031093	Italy	NA	2013	sport_13
athlete_031094	Japan	NA	2014	sport_14
athlete_031095	Germany	NA	2015	sport_15
athlete_031096	United States	NA	2016	sport_16
athlete_031097	Japan	Silver	2017	sport_17
athlete_031098	Germany	Bronze	2018	sport_18
athlete_031099	Italy	NA	2019	sport_19
athlete_031100	France	Gold	2000	sport_20
athlete_031101	United States	Bronze	2001	sport_21
athlete_031102	Soviet Union	NA	2002	sport_22
athlete_031103	Italy	NA	2003	sport_23
athlete_031104	Italy	Gold	2004	sport_24
athlete_031105	United States	NA	2005	sport_25
athlete_031106	Italy	NA	2006	sport_26
athlete_031107	United States	NA	2007	sport_27
athlete_031108	Germany	NA	2008	sport_28
athlete_031109	Germany	Gold	2009	sport_29
athlete_031110	Italy	NA	2010	sport_30
athlete_031111	United States	NA	2011	sport_31
athlete_031112	United States	Silver	2012	sport_32
athlete_031113	Italy	Silver	2013	sport_33
athlete_031114	United States	NA	2014	sport_34
athlete_031115	France	NA	2015	sport_35
athlete_031116	United States	NA	2016	sport_36
athlete_031117	Kenya	Gold	2017	sport_37
athlete_031118	Germany	NA	2018	sport_38
athlete_031119	Soviet Union	NA	2019	sport_39
athlete_031120	Soviet Union	NA	2000	sport_0
athlete_031121	Japan	Silver	2001	sport_1
athlete_031122	Germany	NA	2002	sport_2
athlete_031123	United States	NA	2003	sport_3
athlete_031124	United States	Gold	2004	sport_4
athlete_031125	Italy	Gold	2005	sport_5
athlete_031126	Germany	NA	2006	sport_6
athlete_031127	France	Gold	2007	sport_7
athlete_031128	France	NA	2008	sport_8
athlete_031129	Soviet Union	Bronze	2009	sport_9
athlete_031130	Soviet Union	NA	2010	sport_10
athlete_031131	United States	NA	2011	sport_11
athlete_031132	France	NA	2012	sport_12
athlete_031133	Italy	NA	2013	sport_13
athlete_031134	Kenya	NA	2014	sport_14
athlete_031135	France	NA	2015	sport_15
athlete_031136	United States	Gold	2016	sport_16
athlete_031137	United States	NA	2017	sport_17
athlete_031138	Italy	NA	2018	sport_18
athlete_031139	France	NA	2019	sport_19
athlete_031140	United States	NA	2000	sport_20
athlete_031141	Germany	NA	2001	sport_21
athlete_031142	United States	Bronze	2002	sport_22
athlete_031143	Germany	NA	2003	sport_23
athlete_031144	Germany	Bronze	2004	sport_24
athlete_031145	Kenya	Bronze	2005	sport_25
athlete_031146	Kenya	Bronze	2006	sport_26
athlete_031147	United States	Silver	2007	sport_27
athlete_031148	United States	NA	2008	sport_28
athlete_031149	Kenya	Gold	2009	sport_29
athlete_031150	Soviet Union	Bronze	2010	sport_30
athlete_031151	Kenya	Bronze	2011	sport_31
athlete_031152	Kenya	NA	2012	sport_32
athlete_031153	United States	NA	2013	sport_33
athlete_031154	Kenya	NA	2014	sport_34
athlete_031155	Japan	NA	2015	sport_35
athlete_031156	United States	Silver	2016	sport_36
athlete_031157	Japan	NA	2017	sport_37
athlete_031158	Japan	Gold	2018	sport_38
athlete_031159	United States	Bronze	2019	sport_39
athlete_031160	United States	NA	2000	sport_0
athlete_031161	Italy	NA	2001	sport_1
athlete_031162	Japan	Silver	2002	sport_2
athlete_031163	Kenya	NA	2003	sport_3
athlete_031164	United States	Silver	2004	sport_4
athlete_031165	Japan	NA	2005	sport_5
athlete_031166	Italy	Gold	2006	sport_6
athlete_031167	Germany	NA	2007	sport_7
athlete_031168	Soviet Union	NA	2008	sport_8
athlete_031169	Japan	Gold	2009	sport_9
athlete_031170	Kenya	Bronze	2010	sport_10
athlete_031171	Germany	Silver	2011	sport_11
athlete_031172	Italy	NA	2012	sport_12
athlete_031173	Italy	NA	2013	sport_13
athlete_031174	Italy	NA	2014	sport_14
athlete_031175	Italy	NA	2015	sport_15
athlete_031176	France	Silver	2016	sport_16
athlete_031177	Japan	Silver	2017	sport_17
athlete_031178	Germany	Gold	2018	sport_18
athlete_031179	Germany	NA	2019	sport_19
athlete_031180	Soviet Union	NA	2000	sport_20
athlete_031181	United States	Bronze	2001	sport_21
athlete_031182	Germany	Gold	2002	sport_22
athlete_031183	Kenya	Bronze	2003	sport_23
athlete_031184	United States	NA	2004	sport_24
athlete_031185	Germany	Gold	2005	sport_25
athlete_031186	Italy	NA	2006	sport_26
athlete_031187	United States	NA	2007	sport_27
athlete_031188	Italy	Gold	2008	sport_28
athlete_031189	United States	Gold	2009	sport_29
athlete_031190	United States	Bronze	2010	sport_30
athlete_031191	France	NA	2011	sport_31
athlete_031192	Kenya	Bronze	2012	sport_32
athlete_031193	Germany	NA	2013	sport_33
athlete_031194	Soviet Union	Silver	2014	sport_34
athlete_031195	Germany	NA	2015	sport_35
athlete_031196	Kenya	Gold	2016	sport_36
athlete_031197	United States	NA	2017	sport_37
athlete_031198	United States	Gold	2018	sport_38
athlete_031199	Italy	Gold	2019	sport_39
athlete_031200	Japan	Bronze	2000	sport_0
athlete_031201	France	NA	2001	sport_1
athlete_031202	United States	Bronze	2002	sport_2
athlete_031203	Japan	Gold	2003	sport_3
athlete_031204	United States	NA	2004	sport_4
athlete_031205	United States	NA	2005	sport_5
athlete_031206	United States	NA	2006	sport_6
athlete_031207	Italy	NA	2007	sport_7
athlete_031208	United States	Gold	2008	sport_8
athlete_031209	United States	Silver	2009	sport_9
athlete_031210	Soviet Union	Silver	2010	sport_10
athlete_031211	United States	Gold	2011	sport_11
athlete_031212	Japan	Silver	2012	sport_12
athlete_031213	Germany	Silver	2013	sport_13
athlete_031214	France	Gold	2014	sport_14
athlete_031215	Germany	NA	2015	sport_15
athlete_031216	Italy	NA	2016	sport_16
athlete_031217	Germany	NA	2017	sport_17
athlete_031218	France	Silver	2018	sport_18
athlete_031219	Italy	Bronze	2019	sport_19
athlete_031220	Soviet Union	NA	2000	sport_20
athlete_031221	Italy	Gold	2001	sport_21
athlete_031222	Italy	NA	2002	sport_22
athlete_031223	Germany	NA	2003	sport_23
athlete_031224	Italy	Silver	2004	sport_24
athlete_031225	Germany	Silver	2005	sport_25
athlete_031226	Germany	NA	2006	sport_26
athlete_031227	Japan	NA	2007	sport_27
athlete_031228	Germany	NA	2008	sport_28
athlete_031229	Germany	Silver	2009	sport_29
athlete_031230	Germany	NA	2010	sport_30
athlete_031231	Soviet Union	NA	2011	sport_31
athlete_031232	United States	NA	2012	sport_32
athlete_031233	Soviet Union	NA	2013	sport_33
athlete_031234	Japan	Silver	2014	sport_34
athlete_031235	United States	Gold	2015	sport_35
athlete_031236	United States	Gold	2016	sport_36
athlete_031237	Germany	NA	2017	sport_37
